latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-32.9413,146.24309,345.74,0.5,0.41,2026-04-09,428,N,VIIRS,n,2,308.01,5.72,D,0
-32.93999,146.24428,345.08,0.5,0.41,2026-04-09,428,N,VIIRS,n,2,304.34,4.88,D,0
-32.93291,146.04005,350.28,0.49,0.4,2026-04-09,428,N,VIIRS,n,2,306.63,4.56,D,0
-32.92919,146.03908,349.65,0.49,0.4,2026-04-09,428,N,VIIRS,n,2,315.88,70.6,D,0
-32.92818,146.04433,337.9,0.49,0.4,2026-04-09,428,N,VIIRS,n,2,307.4,7.95,D,0
-32.92377,146.02657,367,0.49,0.4,2026-04-09,428,N,VIIRS,h,2,313.89,15.54,D,0
-32.92276,146.03181,336.61,0.49,0.4,2026-04-09,428,N,VIIRS,n,2,309.33,7,D,0
-32.92006,146.02557,349.02,0.49,0.4,2026-04-09,428,N,VIIRS,n,2,310.3,15.54,D,0
-32.77151,146.35378,347.38,0.51,0.41,2026-04-09,428,N,VIIRS,n,2,307.97,7.08,D,0
-32.77091,146.33635,344.68,0.51,0.41,2026-04-09,428,N,VIIRS,n,2,306.87,10.07,D,0
-32.76985,146.3418,345.16,0.51,0.41,2026-04-09,428,N,VIIRS,n,2,307.87,6,D,0
-32.76714,146.3353,351.16,0.51,0.41,2026-04-09,428,N,VIIRS,n,2,306.23,10.07,D,0
-32.76608,146.34077,331.27,0.51,0.41,2026-04-09,428,N,VIIRS,l,2,305.57,6,D,0
-32.76336,146.33427,354.52,0.51,0.41,2026-04-09,428,N,VIIRS,n,2,310.94,35.15,D,0
-32.72644,146.58533,335.58,0.52,0.42,2026-04-09,428,N,VIIRS,n,2,305.11,5.7,D,0
-32.72151,146.5899,337,0.52,0.42,2026-04-09,428,N,VIIRS,n,2,308.83,72.79,D,0
-32.703,146.56111,333.21,0.52,0.42,2026-04-09,428,N,VIIRS,l,2,305.46,7.34,D,0
-32.7019,146.5667,330.53,0.52,0.42,2026-04-09,428,N,VIIRS,l,2,304.63,6.44,D,0
-32.63341,148.412,353.07,0.43,0.46,2026-04-09,428,N,VIIRS,n,2,305.3,8.92,D,0
-32.62923,148.41066,335.08,0.43,0.46,2026-04-09,428,N,VIIRS,n,2,303.51,8.92,D,0
-32.56029,147.86647,332.9,0.41,0.45,2026-04-09,428,N,VIIRS,l,2,307.31,3.65,D,0
-32.46694,148.41614,347.07,0.43,0.46,2026-04-09,428,N,VIIRS,n,2,301.1,6.21,D,0
-32.46597,148.42073,346.71,0.44,0.46,2026-04-09,428,N,VIIRS,n,2,303.83,10.22,D,0
-32.46369,148.41035,335.46,0.43,0.46,2026-04-09,428,N,VIIRS,n,2,300.66,6.21,D,0
-32.46271,148.41495,347.31,0.43,0.46,2026-04-09,428,N,VIIRS,n,2,302.69,6.21,D,0
-32.46174,148.41953,343.04,0.44,0.46,2026-04-09,428,N,VIIRS,n,2,305.29,10.22,D,0
-32.45946,148.40919,342.18,0.43,0.46,2026-04-09,428,N,VIIRS,n,2,300.57,4.71,D,0
-32.35709,147.32109,333.07,0.38,0.43,2026-04-09,428,N,VIIRS,n,2,303.21,59.97,D,0
-32.35626,147.32516,367,0.38,0.43,2026-04-09,428,N,VIIRS,h,2,306.25,61.87,D,0
-32.35227,147.32404,367,0.38,0.43,2026-04-09,428,N,VIIRS,l,2,330.21,61.87,D,0
-32.28276,149.20607,344.52,0.48,0.48,2026-04-09,428,N,VIIRS,n,2,302.7,9.31,D,0
-32.24649,148.12862,343.33,0.42,0.45,2026-04-09,428,N,VIIRS,n,2,308.27,5.45,D,0
-32.24455,148.47418,342.21,0.44,0.46,2026-04-09,428,N,VIIRS,n,2,305.51,2.52,D,0
-32.24345,148.12857,338.71,0.42,0.46,2026-04-09,428,N,VIIRS,n,2,308.01,4.93,D,0
-32.24031,148.47289,335.56,0.44,0.46,2026-04-09,428,N,VIIRS,n,2,305.56,2.52,D,0
-32.2376,152.42123,332.59,0.36,0.58,2026-04-09,428,N,VIIRS,n,2,292.87,5.42,D,0
-32.20771,145.57393,336.39,0.48,0.4,2026-04-09,428,N,VIIRS,l,2,308.55,3.66,D,0
-32.19568,145.57616,348.77,0.48,0.4,2026-04-09,428,N,VIIRS,n,2,313.16,17.44,D,0
-32.19471,145.58124,357.04,0.48,0.4,2026-04-09,428,N,VIIRS,n,2,311.43,17.44,D,0
-32.19373,145.58635,346.27,0.48,0.4,2026-04-09,428,N,VIIRS,n,2,311.1,10.84,D,0
-32.06891,146.978,348.25,0.56,0.43,2026-04-09,428,N,VIIRS,n,2,299.39,7.8,D,0
-32.02561,152.19412,342.02,0.36,0.57,2026-04-09,428,N,VIIRS,n,2,298.48,2.83,D,0
-32.02464,152.19806,326.83,0.36,0.57,2026-04-09,428,N,VIIRS,n,2,296.62,2.83,D,0
-31.78793,148.87718,351.95,0.47,0.48,2026-04-09,428,N,VIIRS,n,2,305.13,26.23,D,0
-31.78465,148.87085,367,0.47,0.48,2026-04-09,428,N,VIIRS,h,2,332.41,67.21,D,0
-31.78356,148.87582,367,0.47,0.48,2026-04-09,428,N,VIIRS,l,2,328.94,74.07,D,0
